TTPIA A/V Box,format,TTPIAavid,NORMALIZED_CALL_NO,ttpia reel #,#,of,#,BIB_ID,date / range,extent,medium,new title,creator,description note,TITLE,reformatting note,,YYYY,,MM,,DD,
MISC 01,"3"" diameter",,MFILM V10001 REEL 1934 FRAME NA,1934,04,of,06,27049,,8mm reels ,video,"Truk lagoon includes reef blasting, sanitation and lagoon islands.",,copied by MICSEM 2006-02,"5 8MM REELS OF TRUK LAGOON INCLUDES REEF BLASTING, SANITATION AND LAGOON ISLANDS.",,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 1934 FRAME NA,1934,05,of,06,27049,,8mm reels ,video,"Truk lagoon includes reef blasting, sanitation and lagoon islands.",,copied by MICSEM 2006-02,"5 8MM REELS OF TRUK LAGOON INCLUDES REEF BLASTING, SANITATION AND LAGOON ISLANDS.",,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 1934 FRAME NA,1934,06,of,06,27049,,8mm reels ,video,"Truk lagoon includes reef blasting, sanitation and lagoon islands.",,copied by MICSEM 2006-02,"5 8MM REELS OF TRUK LAGOON INCLUDES REEF BLASTING, SANITATION AND LAGOON ISLANDS.",,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 1935 FRAME NA,1935,02,of,03,27050,n.d.,8mm,video,"Pohnpei (Ponape) - scenic, water supplies, rivers, etc.",,,"3 8MM REELS OF POHNPEI (PONAPE) - SCENIC, WATER SUPPLIES, RIVERS, ETC.",copied by MICSEM 2006-02,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 1935 FRAME NA,1935,03,of,03,27050,n.d.,8mm,video,"Pohnpei (Ponape) - scenic, water supplies, rivers, etc.",,,"3 8MM REELS OF POHNPEI (PONAPE) - SCENIC, WATER SUPPLIES, RIVERS, ETC.",copied by MICSEM 2006-02,.,,,,,,
MISC 01,"5"" diameter",,MFILM V10001 REEL 1935 FRAME NA,1935,01,of,03,27050,n.d.,8mm,video,"Pohnpei (Ponape) - scenic, water supplies, rivers, etc.",,,"3 8MM REELS OF POHNPEI (PONAPE) - SCENIC, WATER SUPPLIES, RIVERS, ETC.",copied by MICSEM 2006-02,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 1939 FRAME NA,1939,01,of,02,27054,1975,"2 8mm film, no sound",video,FSM Constitutional Convention including the signing ceremony.,,,2 8MM FILM OF THE CONSTITUTIONAL CONVENTION (FSM) INCLUDING THE SIGNING CEREMONY. NO SOUND.,copied by MICSEM 2006-02,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 1939 FRAME NA,1939,02,of,02,27054,1975,"2 8mm film, no sound",video,FSM Constitutional Convention including the signing ceremony.,,,2 8MM FILM OF THE CONSTITUTIONAL CONVENTION (FSM) INCLUDING THE SIGNING CEREMONY. NO SOUND.,copied by MICSEM 2006-02,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 1944 FRAME NA,1944,01,of,01,28045,1974,,video,genera sceric shots of kolonia pohnpei (16 mm) undated - about 1974.,,,GENERA SCERIC SHOTS OF KOLONIA POHNPEI (16 MM) UNDATED - ABOUT 1974.,copied by MICSEM 2006-02,.,,,,,,
MISC 01,"3.5"" diameter",,MFILM V10001 REEL 1945 FRAME NA,1945,01,of,01,28046,1974,,video,TTPI High Commissioner Edward E. Johnston visit - Ponape. undated - about 1974.,,,HICOM EDWARD E. JOHNSTON VISIT - PONAPE. UNDATED - ABOUT 1974.,copied by MICSEM 2006-02,.,,,,,,
MISC 01,"5"" diameter",,MFILM V10001 REEL 1947 FRAME NA,1947,01,of,01,28247,1974,"16mm film (silent, 3 min.)",video,Congress of Micronesia facilities on Saipan.,,,"16MM FILM (SILENT, 3 MIN.) ON THE CONGRESS OF MICRONESIA FACILITIES ON SAIPAN.",copied by MICSEM 2006-02,.,,,,,,
MISC 01,sound filmstrip,,MFILM V10001 REEL 1968 FRAME NA,1968,01,of,01,28643,1974,,audio,"""Building a micronesian nation."" ",,A review of Micronesia's history and political status. An ESG program concentrating on educating people on what a constitution is.,"SOUND FILMSTRIP ""BUILDING A MICRONESIAN NATION."" A REVIEW OF MICRONE- SIA'S HISTORY AND POLITICAL STATUS. A ESG PROGRAM CONCENTRATING ON EDUCATING PEOPLE ON WHAT A CONSTITUTION IS.",,.,,,,,,
MISC 01,sound filmstrip,,MFILM V10001 REEL 1969 FRAME NA,1969,01,of,01,28644,1976,,audio,"The micronesian position on the ""law of the sea."" ",,An ESG political education program.,"SOUND FILMSTRIP DISCUSSING THE MICRONESIAN POSITION ON THE ""LAW OF THE SEA."" AN ESG POLITICAL EDUCATION PROGRAM.",,.,,,,,,
MISC 01,sound filmstrip,,MFILM V10001 REEL 1970 FRAME NA,1970,01,of,02,28713,1975,,audio,Aspects of micronesia unity.,,An ESG political education program.,"SOUND FILMSTRIP PROGRAM DISCUSSING ASPECTS OF MICRONESIA UNITY, AN ESG POLITICAL EDUCATION PROGRAM.",,.,,,,,,
MISC 01,sound filmstrip,,MFILM V10001 REEL 1970 FRAME NA,1970,02,of,02,28713,1975,,audio,Aspects of micronesia unity.,,An ESG political education program.,"SOUND FILMSTRIP PROGRAM DISCUSSING ASPECTS OF MICRONESIA UNITY, AN ESG POLITICAL EDUCATION PROGRAM.",,.,,,,,,
MISC 01,sound filmstrip,,MFILM V10001 REEL 1974 FRAME NA,1974,01,of,01,28717,1974,,video,The democratic process in Micronesia prepared by the esg program.,,,SOUND FILMSTRIP PROGRAM ON THE DEMOCRATIC PROCESS IN MICRONESIA PREPARED BY THE ESG PROGRAM.,,.,,,,,,
MISC 01,sound filmstrip,,MFILM V10001 REEL 1975 FRAME NA,1975,01,of,01,28718,1973 - 1978,,video,"""The marianas experience."" ",,The events leading up to the 1978 installation of the commonwealth government in the CNMI.,"SOUND FILMSTRIP ""THE MARIANAS EXPERIENCE"" DESCIBING THE EVENTS LEADING UP TO THE 1978 INSTALLATION OF THE COMMONWEALTH GOVERNMENT IN THE CNMI.",,.,,,,,,
MISC 01,sound filmstrip,,MFILM V10001 REEL 1977 FRAME NA,1977,01,of,01,28720,1974,,audio,"""Building a Micronesian Nation."" ",,ESG program covering history of micronesia and modern political development. also draft narrates and trukese and palauan versions. (1974),"SOUND FILMSTRIP ""BUILDING A MICRONESIAN NATION,"" ESG PROGRAM COVERING HISTORY OF MICRONESIA AND MODERN POLITICAL DEVELOPMENT. ALSO DRAFT NARRATES AND TRUKESE AND PALAUAN VERSIONS.",,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 1984 FRAME NA,1984,01,of,01,28964,1975,16mm silent movie,video,"Signing the covenant ceremonies at Mt. Carmel School, February 1975.",,copied by MICSEM 2006-02,"16MM SILENT MOVIE OF SIGNING THE COVENANT CEREMONIES AT MT. CARMEL SCHOOL, FEBRUARY 1975.",,.,,,,,,
MISC 01,"5"" diameter",,MFILM V10001 REEL 3700 FRAME NA,3700,01,of,01,32533,nd,,audio,discussion on construction of dispensary projects for the marshalls and truk.,,,DISCUSSION ON CONSTRUCTION OF DISPENSARY PROJECTS FOR THE MARSHALLS AND TRUK.,,.,,,,,,
MISC 01,"6.5"" diameter",,MFILM V10001 REEL 4000 FRAME NA,4000,,of,,34753,1973,vtr (2 inch),video," Statement by Secretary of Interior Morton, 8/31/73. 1973",,,"VTR (2 INCH) OF STATEMENT BY SECRETARY OF INTERIOR MORTON, 8/31/73. 1973",,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 4001 FRAME NA,4001,09,of,20,34754,1971,8mm ,video,Beach.,,,"20 8MM SILENT MOVIES OF TRUK, PONAPE AND SAIPAN. SOME ENVIRONMENTAL SUBJECTS MOSTLY, RECREATIONAL. (INDEX IN BOX)",,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 4001 FRAME NA,4001,11,of,20,34754,1971,8mm ,video,Capitol Hall and fire.,,,"20 8MM SILENT MOVIES OF TRUK, PONAPE AND SAIPAN. SOME ENVIRONMENTAL SUBJECTS MOSTLY, RECREATIONAL. (INDEX IN BOX)",,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 4001 FRAME NA,4001,04,of,20,34754,1971,8mm ,video,EPA Board meeting,,,"20 8MM SILENT MOVIES OF TRUK, PONAPE AND SAIPAN. SOME ENVIRONMENTAL SUBJECTS MOSTLY, RECREATIONAL. (INDEX IN BOX)",,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 4001 FRAME NA,4001,05,of,20,34754,1971,8mm ,video,Hawaii Picnic,,,"20 8MM SILENT MOVIES OF TRUK, PONAPE AND SAIPAN. SOME ENVIRONMENTAL SUBJECTS MOSTLY, RECREATIONAL. (INDEX IN BOX)",,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 4001 FRAME NA,4001,10,of,20,34754,1971,8mm ,video,Health Services meeting.,,,"20 8MM SILENT MOVIES OF TRUK, PONAPE AND SAIPAN. SOME ENVIRONMENTAL SUBJECTS MOSTLY, RECREATIONAL. (INDEX IN BOX)",,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 4001 FRAME NA,4001,08,of,20,34754,1971,8mm ,video,Liberation Day Saipan.,,,"20 8MM SILENT MOVIES OF TRUK, PONAPE AND SAIPAN. SOME ENVIRONMENTAL SUBJECTS MOSTLY, RECREATIONAL. (INDEX IN BOX)",,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 4001 FRAME NA,4001,17,of,20,34754,1971,8mm ,video,Picnic on beach in Truk,,,"20 8MM SILENT MOVIES OF TRUK, PONAPE AND SAIPAN. SOME ENVIRONMENTAL SUBJECTS MOSTLY, RECREATIONAL. (INDEX IN BOX)",,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 4001 FRAME NA,4001,15,of,20,34754,1971,8mm ,video,Ponape.,,,"20 8MM SILENT MOVIES OF TRUK, PONAPE AND SAIPAN. SOME ENVIRONMENTAL SUBJECTS MOSTLY, RECREATIONAL. (INDEX IN BOX)",,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 4001 FRAME NA,4001,19,of,20,34754,1971,8mm ,video,Preparing to scuba dive.,,,"20 8MM SILENT MOVIES OF TRUK, PONAPE AND SAIPAN. SOME ENVIRONMENTAL SUBJECTS MOSTLY, RECREATIONAL. (INDEX IN BOX)",,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 4001 FRAME NA,4001,14,of,20,34754,1971,8mm ,video,Saipan beach clean-up,,,"20 8MM SILENT MOVIES OF TRUK, PONAPE AND SAIPAN. SOME ENVIRONMENTAL SUBJECTS MOSTLY, RECREATIONAL. (INDEX IN BOX)",,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 4001 FRAME NA,4001,01,of,20,34754,1971,8mm ,video,Saipan greeting a cruise ship.,,,"20 8MM SILENT MOVIES OF TRUK, PONAPE AND SAIPAN. SOME ENVIRONMENTAL SUBJECTS MOSTLY, RECREATIONAL. (INDEX IN BOX)",,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 4001 FRAME NA,4001,13,of,20,34754,1971,8mm ,video,Saipan Liberation Day 1971 and scenics.,,,"20 8MM SILENT MOVIES OF TRUK, PONAPE AND SAIPAN. SOME ENVIRONMENTAL SUBJECTS MOSTLY, RECREATIONAL. (INDEX IN BOX)",,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 4001 FRAME NA,4001,06,of,20,34754,1971,8mm ,video,Too dark.,,,"20 8MM SILENT MOVIES OF TRUK, PONAPE AND SAIPAN. SOME ENVIRONMENTAL SUBJECTS MOSTLY, RECREATIONAL. (INDEX IN BOX)",,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 4001 FRAME NA,4001,02,of,20,34754,1971,8mm ,video,Too dark. Airport?,,,"20 8MM SILENT MOVIES OF TRUK, PONAPE AND SAIPAN. SOME ENVIRONMENTAL SUBJECTS MOSTLY, RECREATIONAL. (INDEX IN BOX)",,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 4001 FRAME NA,4001,03,of,20,34754,1971,8mm ,video,Too dark. House?,,,"20 8MM SILENT MOVIES OF TRUK, PONAPE AND SAIPAN. SOME ENVIRONMENTAL SUBJECTS MOSTLY, RECREATIONAL. (INDEX IN BOX)",,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 4001 FRAME NA,4001,12,of,20,34754,1971,8mm ,video,Truk lagoon island,,,"20 8MM SILENT MOVIES OF TRUK, PONAPE AND SAIPAN. SOME ENVIRONMENTAL SUBJECTS MOSTLY, RECREATIONAL. (INDEX IN BOX)",,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 4001 FRAME NA,4001,20,of,20,34754,1971,8mm ,video,Truk picnic.,,,"20 8MM SILENT MOVIES OF TRUK, PONAPE AND SAIPAN. SOME ENVIRONMENTAL SUBJECTS MOSTLY, RECREATIONAL. (INDEX IN BOX)",,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 4001 FRAME NA,4001,07,of,20,34754,1971,8mm ,video,Truk stick dances.,,,"20 8MM SILENT MOVIES OF TRUK, PONAPE AND SAIPAN. SOME ENVIRONMENTAL SUBJECTS MOSTLY, RECREATIONAL. (INDEX IN BOX)",,.,,,,,,
MISC 01,"3"" diameter",,MFILM V10001 REEL 4001 FRAME NA,4001,18,of,20,34754,1971,8mm ,video,"Udot, Truk scenes.",,,"20 8MM SILENT MOVIES OF TRUK, PONAPE AND SAIPAN. SOME ENVIRONMENTAL SUBJECTS MOSTLY, RECREATIONAL. (INDEX IN BOX)",,.,,,,,,
MISC 01,"3"" diameter",,Not in index (NII),NII-0024,01,of,01,NII,,,audio,Micronesia,(US) National Park Service,,,,.,,,,,,
MISC 02,"5"" diameter",,MFILM V10001 REEL 1917 FRAME NA,1917,01,of,01,27103,1956 / 1970,,video,"8mm film of opening of tthq (on guam) with hicom. unidentified film, a gift of mr. & mrs. j. c. taylor to hicom e. e. johnston, 1970. 1956 - 1970",,,"8MM FILM OF OPENING OF TTHQ (ON GUAM) WITH HICOM. UNIDENTIFIED FILM, A GIFT OF MR. & MRS. J. C. TAYLOR TO HICOM E. E. JOHNSTON, 1970. 1956 - 1970",,.,,,,,,
MISC 02,"7"" diameter",,MFILM V10001 REEL 1926 FRAME NA,1926,01,of,01,27493,n.d.,16mm silent movie. (SOME PARTS VERY BLURRY),video,"Ponape water treatment / poisonous sping creatures / Yap water reservior / high school / some shots in the village of Madrech, Colonia.",,,"16MM SILENT MOVIE ON PONAPE WATER TREATMENT/POISONOUS SPING CREATURES/ YAP WATER RESERVIOR/HIGH SCHOOL/SOME SHOTS IN THE VILALGE OF MADRECH, COLONIA, UNDATED.",copied by MICSEM 2006-02,.,,,,,,
MISC 02,"7"" diameter",,MFILM V10001 REEL 1927 FRAME NA,1927,01,of,01,27494,,"16mm silent movie (UPSIDE DOWN) 10 MIN. LONG. no credits as who made (shot) i, when, etc.",video,Rivers of Ponape. water catchments and local style of washing clothes also included. ,,,"16MM SILENT MOVIE ON THE RIVERS OF PONAPE. WATER CATCHMENTS AND LOCAL STYLE OF WASHING CLOTHES ALSO INCLUDED. NO CREDITS AS WHO MADE (SHOT) I, WHEN, ETC.",copied by MICSEM 2006-02,.,,,,,,
MISC 02,"7"" diameter",,MFILM V10001 REEL 1928 FRAME NA,1928,,of,,27495,,"16mm silent movie (BACKWARD AND UPSIDE DOWN) no credits as to who did (shot) it, when, etc.",video,Ponape and Majuro water catchment systems (rain water). ,,,"16MM SILENT MOVIE ON PONAPE AND MAJURO WATER CATCHMENT SYSTEMS (RAIN WATER). NO CREDITS AS TO WHO DID (SHOT) IT, WHEN, ETC.",copied by MICSEM 2006-02,.,,,,,,
MISC 02,"7"" diameter",,MFILM V10001 REEL 1936 FRAME NA,1936,01,of,01,27051,1971,1 8mm reel ,video,"Truk and the Typhoon Amy, April 1, 1971.",,,"1 8MM REEL OF TRUK OF THE TYPHOON AMY, APRIL 1, 1971.",copied by MICSEM 2006-02,.,,,,,,
MISC 02,"5"" diameter",,MFILM V10001 REEL 1937 FRAME NA,1937,01,of,01,27052,,,video,one 8mm film of trukese and yapese stick dances. no sound.,,copied by MICSEM 2006-02,ONE 8MM FILM OF TRUKESE AND YAPESE STICK DANCES. NO SOUND.,,.,,,,,,
MISC 02,"7"" diameter",,MFILM V10001 REEL 1938 FRAME NA,1938,01,of,01,27053,[1975],1 8mm film (15 min.),video,"kosrae:  scenic, kosrae airport survey, people, etc.",by pacific architect and engineers,,"1 8MM FILM (15 MIN.) ON KOSRAE BY PACIFIC ARCHITECT AND ENGINEERS SCENIC, KOSRAE AIRPORT SURVEY, PEOPLE, ETC.",copied by MICSEM 2006-02,.,,,,,,
MISC 02,"7"" diameter",,MFILM V10001 REEL 1940 FRAME NA,1940,01,of,01,27055,1970 / 1971,20 minutes 8mm film,video,Sanitation problems in Micronesia for independence day sanitation conference.,,,20 MINUTES 8MM FILM (SELECT) OF SANITATION PROBLEMS IN MICRONESIA FOR INDEPENDENCE DAY SANITATION CONFERENCE.,copied by MICSEM 2006-02,.,,,,,,
MISC 02,"7"" diameter",,MFILM V10001 REEL 1941 FRAME NA,1941,01,of,01,27056,1971,about 10 minutes of 8mm movie,video,"Scenes of moen, truk, esp. truk hospital.",,,"ABOUT 10 MINUTES OF 8MM MOVIE ON SCENES OF MOEN, TRUK, ESP. TRUK HOSPITAL.",copied by MICSEM 2006-02,.,,,,,,
MISC 02,"5"" diameter",,MFILM V10001 REEL 1946 FRAME NA,1946,01,of,01,28047,1975,2 1/2 min. 16mm silent movie,video,1975 session of the Congress of Micronesia.,,copied by MICSEM 2006-02,2 1/2 MIN. 16MM SILENT MOVIE OF A 1975 SESSION OF THE CONGRESS OF MICRONESIA.,,.,,,,,,
MISC 02,VHS,,MFILM V10001 REEL 1978 FRAME NA,1978,01,of,01,28785,1978,,video,"3/4"" vhs cassette - undated but treating ponapean custom and tradition by historic presentation office.",,,"3/4"" VHS CASSETTE - UNDATED BUT TREATING PONAPEAN CUSTOM AND TRADITION BY HISTORIC PRESENTATION OFFICE.",,.,,,,,,
MISC 02,VHS,,MFILM V10001 REEL 1983 FRAME NA,1983,01,of,01 c1,28965,1984,"(PHOTOS, HANDICRAFT, ARTIFACTS, ETC.)",video,vhs video cassette of trust territory exhibit at u. n. in may 1984. filmed by u. n. affairs for chinese television.,,,VHS VIDEO CASSETTE OF TRUST TERRITORY EXHIBIT AT U. N. IN MAY 1984. FILMED BY U. N. AFFAIRS FOR CHINESE TELEVISION.,,.,,,,,,
MISC 02,VHS,,MFILM V10001 REEL 1983 FRAME NA,1983,01,of,01 c2,28965,1984,"(PHOTOS, HANDICRAFT, ARTIFACTS, ETC.)",video,vhs video cassette of trust territory exhibit at u. n. in may 1984. filmed by u. n. affairs for chinese television.,,,VHS VIDEO CASSETTE OF TRUST TERRITORY EXHIBIT AT U. N. IN MAY 1984. FILMED BY U. N. AFFAIRS FOR CHINESE TELEVISION.,,.,,,,,,
MISC 02,VHS,,MFILM V10001 REEL 1986 FRAME NA,1986,01,of,01 c1,29944,1983 - 1984,,video,video (vhs) of introduction to micronesia with intro. by ambassador fred m. zeder with concentration on compact and plebiscites.,,,VIDEO (VHS) OF INTRODUCTION TO MICRONESIA WITH INTRO. BY AMBASSADOR FRED M. ZEDER WITH CONCENTRATION ON COMPACT AND PLEBISCITES.,,.,,,,,,
MISC 02,VHS,,MFILM V10001 REEL 1986 FRAME NA,1986,01,of,01 c2,29944,1983 - 1984,,video,video (vhs) of introduction to micronesia with intro. by ambassador fred m. zeder with concentration on compact and plebiscites.,,,VIDEO (VHS) OF INTRODUCTION TO MICRONESIA WITH INTRO. BY AMBASSADOR FRED M. ZEDER WITH CONCENTRATION ON COMPACT AND PLEBISCITES.,,.,,,,,,
MISC 02,VHS,,MFILM V10001 REEL 1988 FRAME NA,1988,01,of,01,29946,1984,,video,"video tape of phase ii, bai-ra-irrai rehabilitation, palau, january thru july 1984.",,,"VIDEO TAPE OF PHASE II, BAI-RA-IRRAI REHABILITATION, PALAU, JANUARY THRU JULY 1984.",,.,,,,,,
MISC 02,"5"" diameter",,MFILM V10001 REEL 3698 FRAME 4001,4001,16,of,20,,,,audio,Sokehs water project,,copied by MICSEM 2006-02,,,.,,,,,,
MISC 02,"5"" diameter",,MFILM V10001 REEL 3698 FRAME NA,3698,,of,,32531,,,video,Saiapn Land Commission. Chammorro language.,,,SAIAPN LAND COMMISSION. (CHAMMORRO LANGUAGE),,.,,,,,,
MISC 02,"7"" diameter",,MFILM V10001 REEL 3699 FRAME NA,3699,,of,01,32532,1,,video,chammorro songs.,,,CHAMMORRO SONGS.,copied by MICSEM 2006-02,.,,,,,,
MISC 02,"5"" diameter",,MFILM V10001 REEL 4001 FRAME NA,4001,16,of,20 c2,34754,1971,,video,Sokehs water project,,,,,.,,,,,,
MISC 02,"7"" diameter",,MFILM V10001 REEL 4026 FRAME NA,4026,,of,,35743,n.d.,16mm movie,video,"Environmental harards in Ponape, Ebeye-garbage, water and sewer systems.",,,"16MM MOVIE OF ENVIRONMENTAL HARARDS IN PONAPE, EBEYE-GARBAGE, WATER AND SEWER SYSTEMS.",copied by MICSEM 2006-02,.,,,,,,
MISC 02,"7"" diameter",,Not in index (NII),NII-0012 [1951],01,of,01,NII,1976,,video,Majuro in 1970s. ,,"DUD area, Ajidrik Hotel, cars, post office, stores, fishermen, copra making, edrelict ships, airports, churches, cemetary, movie house.",,copied by MICSEM 2006-02,.,,,,,,
MISC 02,"7"" diameter",,Not in index (NII),NII-0013,01,of,01,NII,1975,,video,"Commonwealth plebiscite, 17 June 1975.",,,,copied by MICSEM 2006-02,.,,,,,,
MISC 02,"7"" diameter",,Not in index (NII),NII-0014,01,of,01,NII,1975 / 1976,,video,Distad conference on Pohnpei.,,"Includes Johnson, J. Debrum, B. McKenzie, L. Falcom, Remelik, J. Sablan, D. Akimoto, M. Pounds.",,copied by MICSEM 2006-02,.,,,,,,
MISC 02,"7"" diameter",,Not in index (NII),NII-0015,01,of,01,NII,1974 / 1975,no sound,video,Traditional Pohnpeian dancing.,,"High Commissioner Johnson at airport. Also McKenzie, Falcom",,copied by MICSEM 2006-02,.,,,,,,
MISC 02,"7"" diameter",,Not in index (NII),NII-0016,01,of,01,NII,1976,no sound,video,Pohnpeian dancing.,,"Dancing at ballfield. German, Pohnpeian, Yapese, Kosrae, Net cultural dancing. High Commissioner Johnson at airport. Also McKenzie, Falcom, Dancing at airport.",,copied by MICSEM 2006-02,.,,,,,,
MISC 02,"7"" diameter",,Not in index (NII),NII-0017,01,of,01,NII,n.d.,,video,Micronesia SEG no. 1,,,,copied by MICSEM 2006-02,.,,,,,,
MISC 02,"7"" diameter",,Not in index (NII),NII-0018,01,of,01,NII,1974,no sound,video,State of Territory address by TTPI High Commissioner Johnson during a Senate Session.,,,,copied by MICSEM 2006-02,.,,,,,,
MISC 02,"7"" diameter",,Not in index (NII),NII-0021,01,of,01,NII,,,video,In whom we trust,,,,copied by MICSEM 2006-02,.,,,,,,
MISC 02,"5"" diameter",,Not in index (NII),NII-0023,01,of,01,NII,,,video,Utwa Harbor sreck site.,,,,copied by MICSEM 2006-02,.,,,,,,
MISC 02,VHS,,Not in index (NII),NII-0029 [4119],01,of,01,NII,1986,,video,"""US interest in Pacific Area"" on American Interest.",Armed Forces TV Satellite Feed-LA,"American interest in Pacific area with Admiral James A. Lyons, guest.",,,.,,,,,,
MISC 02,VHS,,Not in index (NII),NII-0030 [4120],01,of,01 c1,NII,,,video,"Micronesia, ""A beginning.""",,Introduction by Ambassador Fred Zeder.,,,.,,,,,,
MISC 02,VHS,,Not in index (NII),NII-0030 [4120],01,of,01 c2,NII,,,video,"Micronesia, ""A beginning.""",,Introduction by Ambassador Fred Zeder.,,,.,,,,,,
MISC 03,"11x11""",,MFILM V10001 REEL 1924 FRAME NA,1924,01,of,01,27491,1974,"12"" audio, recorded at 15/16",audio,Hearings on the return of public land.,,,"12"" AUDIO OF HEARINGS ON THE RETURN OF PUBLIC LAND. RECORDED AT 15/16. 1974",,.,,,,,,
MISC 03,"9.5"" diameter",,MFILM V10001 REEL 4019 FRAME NA,4019,01,of,01,34772,1975,,video,Morton's message to Micronesia. ,,Roger C. B. Morton.,MORTON'S MESSAGE TO MICRONESIA. 1975,copied by MICSEM 2006-02,.,,,,,,
MISC 03,"9.5"" diameter",,Not in index (NII),NII-0001 [1961],01,of,01,NII,,11 minutes.,video,"Combat communique Pelelieu, action in the Palau.",,"Military news film shows Palau September 1944 under heavy air attack, ship bombardment. Shows USA winning. ",,copied by MICSEM 2006-02. edges of frames are worn. Sound garbled.,.,,,,,,
MISC 03,"12"" diameter",,Not in index (NII),NII-0025 [1952],01,of,02,NII,,,video,Uncertain paradise.,,,,,.,,,,,,
MISC 03,"12"" diameter",,Not in index (NII),NII-0025 [1952],02,of,02,NII,,,video,Uncertain paradise.,,,,,.,,,,,,
MISC 03,"12"" diameter",,Not in index (NII),NII-0026 [1928],01,of,01,NII,,16 mm silent movie (10 min),video,"Rivers and water system, Ponape.",,,,copied by MICSEM 2006-02,.,,,,,,
MISC 03,"12"" diameter",,Not in index (NII),NII-0027 [1957],01,of,01,NII,,,video,Ceremony of the Palau fair and bridge,,,,copied by MICSEM 2006-02,.,,,,,,
MISC 03,"12"" diameter",,Not in index (NII),NII-0028 [1962],01,of,01,NII,,,video,Ron Annin reefed,,"Ship on reef, rescue attempts finally successful, ship delivered to Kwajalein.",,"copied by MICSEM 2006-02. Long, slow, no sound.",.,,,,,,
no box,"RR 15""",,MFILM V10001 REEL 1918 FRAME NA,1918,01,of,06,27285,1977 / 1978,6 reels-16mm,film,Lamotrek.,"Metzgar, Eric",no sound. life on lamotrek-customs/traditions/daily activities. ,"LAMOTREK 6 REELS-16MM, LIFE ON LAMOTREK-CUSTOMS/TRADITIONS/DAILY ACTIVITIES. NO SOUND, UNDATED.",,.,,,,,,
no box,"RR 15""",,MFILM V10001 REEL 1918 FRAME NA,1918,02,of,06,27285,1977 / 1978,6 reels-16mm,film,Lamotrek.,"Metzgar, Eric",no sound. life on lamotrek-customs/traditions/daily activities. ,"LAMOTREK 6 REELS-16MM, LIFE ON LAMOTREK-CUSTOMS/TRADITIONS/DAILY ACTIVITIES. NO SOUND, UNDATED.",,.,,,,,,
no box,"RR 15""",,MFILM V10001 REEL 1918 FRAME NA,1918,03,of,06,27285,1977 / 1978,6 reels-16mm,film,Lamotrek.,"Metzgar, Eric",no sound. life on lamotrek-customs/traditions/daily activities. ,"LAMOTREK 6 REELS-16MM, LIFE ON LAMOTREK-CUSTOMS/TRADITIONS/DAILY ACTIVITIES. NO SOUND, UNDATED.",,.,,,,,,
no box,"RR 15""",,MFILM V10001 REEL 1918 FRAME NA,1918,04,of,06,27285,1977 / 1978,6 reels-16mm,film,Lamotrek.,"Metzgar, Eric",no sound. life on lamotrek-customs/traditions/daily activities. ,"LAMOTREK 6 REELS-16MM, LIFE ON LAMOTREK-CUSTOMS/TRADITIONS/DAILY ACTIVITIES. NO SOUND, UNDATED.",,.,,,,,,
no box,"RR 15""",,MFILM V10001 REEL 1918 FRAME NA,1918,05,of,06,27285,1977 / 1978,6 reels-16mm,film,Lamotrek.,"Metzgar, Eric",no sound. life on lamotrek-customs/traditions/daily activities. ,"LAMOTREK 6 REELS-16MM, LIFE ON LAMOTREK-CUSTOMS/TRADITIONS/DAILY ACTIVITIES. NO SOUND, UNDATED.",,.,,,,,,
